Date,IBOVESPA (BRAZIL),IPC (MEXICO),MERVAL (ARGENTINA),AEX (NETHERLANDS),ATHEX COMPOSITE (GREECE),BEL-20 (BELGIUM),BET INDEX (ROMANIA),BUX (HUNGARY),CAC 40 (FRANCE),DAX (GERMANY),FTSE MIB (ITALY),OMX HELSINKI INDEX (FINLAND),IBEX INDEX (SPAIN),OMX ICELAND (ICELAND),OMX RIGA INDEX (LATVIA),OMX S30 (SWEDEN),OMX TALLINN INDEX (ESTONIA),OMX VILNIUS INDEX (LITHUANIA),OSE ALL SHARE INDEX (NORWAY),PSI 20 INDEX (PORTUGAL),PX INDEX (CZECH),SAX INDEX (SLOVAKIA),SWISS MARKET INDEX (SWITZERLAND),SOFIX INDEX (BULGARIA),UK 100 CFD (UK),UX INDEX (UKRAINE),XU 100 (TURKEY),ALL ORDINARIES (AUSTRALIA),HSI (HONG KONG),JAKARTA COMPOSITE INDEX (INDONESIA),KLSE (MALAYSIA),KOSPI INDEX (SOUTH KOREA),NIKKEI 225 (JAPAN),NZX 50 (NEW ZEALAND),PSEI (PHILIPPINE),SET INDEX (THAILAND),SCI (CHINA),SENSEX 30 INDEX (INDIA),STI (SINGAPORE),TAIEX INDEX (TAIWAN),ATX (AUSTRIA),MOEX INDEX (RUSSIA),SHENZHEN COMPONENT (CHINA),VN INDEX (VIETNAM),Karachi100 (PAKISTAN),CSE (SRI LANKA),COLCAP (COLOMBIA),S&P LIMA (PERU),IPSA (CHILE),BIRS (BOSNIA),ISEQ (IRELAND),WIG20 (POLAND),OMXC20 (DENMARK),CROBEX (CROATIA),BELEX15 (SERBIA),JTOPI (SOUTH AFRICA),NSX (NAMIBIA),MASI (MOROCCO),TUNINDEX (TUNISIA),LSE (ZAMBIA),S&P/TSX (CANADA),NASDAQ (USA),NYSE Composite (USA),AMSE (JORDAN),TASI (SAUDI ARABIA),QE GENERAL (QATAR),ADX (UNITED ARAB EMIRATES),TA35 (ISRAEL),BSE (BAHRAIN),MSM 30 (OMAN),EGX 30 (EGYPT)
2/6/2014,51605,41936.87,7678.23,408.77,1245.15,3160.56,6684.33,19300.54,4515.89,9950.12,21796.17,7706.99,10827.4,837.51,436.71,1399.4,793.25,464.75,681.13,7160.61,1028.01,207.95,8688.96,602.56,6864.1,1233.86,786.49,5499.16,23081.65,4912.09,1864.25,2002,14935.92,5178.44,6710.4,1440.94,2039.21,24684.85,3302.24,9075.91,2534.179932,1464.469971,7364.830078,610.99,29789.85,6292.41,1659.05,15740.19,3891.19,695.33,4898.77,2440.24,721.87,1690.52,586.57,44852.57,1101.5,9469.49,4555.74,6034.37,14680.76,4237.2,10772,2146.49,9864.61,13551.18,5133.54,1397.73,1458.04,6907.23,8015.23
3/6/2014,52032,42126.09,7708.8,408.61,1234.62,3142.58,6656.79,19129.17,4503.69,9919.74,21656.65,7652.11,10776.7,838.8,445.94,1395.77,792.62,470.3,683.03,7126.15,1031.63,208.16,8661.2,596.7,6836.3,1209.82,788.18,5460.49,23291.04,4942.16,1872.55,2008.56,15034.25,5164.12,6800.84,1454.24,2038.31,24858.59,3296.67,9123.46,2515.72998,1472.829956,7321.52002,612.49,29504.98,6286.02,1678.97,15754,3908.83,695.06,4895.5,2446.42,720.75,1713.63,585.47,44975.7,1093.8,9437.6,4540.63,6038.45,14734.69,4234.08,10770.3,2154.52,9838.86,13221.29,5063.96,1397.73,1458.47,6951.59,7963.37
4/6/2014,51832,41953.3,7695.48,408.07,1251.05,3142.93,6640.5,19089.09,4501,9926.67,21622.77,7660.44,10755.6,847.2,443.01,1397.47,787.92,471.79,679.18,7164.89,1025.89,208.16,8661.08,594.65,6818.63,1197.02,783.85,5426.76,23151.71,4932.56,1865.2,2008.56,15067.96,5159.35,6766.57,1449.4,2024.83,24805.83,3280.17,9119.96,2513.77002,1475.790039,7223.129883,603.83,29452.23,6286.06,1675.34,15667.79,3916.96,694.76,4935.85,2462.12,727.63,1715.83,583.8,44985.86,1094.4,9424.51,4511.77,6036.74,14796.79,4251.64,10776.8,2154.6,9856.52,13142.69,5018.96,1397.73,1460.54,6943.31,8116.19
5/6/2014,51558,42173.18,7835.18,410.97,1285.97,3152.34,6643.27,18954.65,4548.73,9947.83,21951.07,7701.59,10876.4,845.76,445.06,1391.2,790.87,471.32,687.93,7238.05,1029.59,208.16,8643.28,589.27,6813.49,1208.71,798.03,5419.7,23109.66,4935.56,1869,1995.48,15079.37,5159.49,6772.44,1453.16,2040.88,25019.51,3279.64,9140.72,2542.97998,1470.699951,7303.640137,601.6,29417.2,6280.16,1682.81,15909.82,3940.35,690.54,4950.96,2480.85,727.63,1721.09,584.55,44984.76,1103.5,9361.38,4514.79,6033.8,14800.18,4296.23,10847.7,2153.09,9860.41,13232.06,5055.42,1400.42,1461.55,6953.89,8498.65
6/6/2014,53128,42778.26,7913.87,413.26,1305.16,3171.51,6692.6,19065.33,4581.12,9987.19,22290.08,7767.46,11064.3,844.48,439.46,1391.2,790.92,471.67,691.41,7347.36,1036.45,204.76,8659.69,584.74,6858.21,1238.13,803.98,5443.51,22951,4937.18,1862.7,1995.48,15077.24,5182.44,6762.62,1458.02,2029.96,25396.46,3299.43,9134.46,2567.719971,1484.939941,7235.390137,608.48,29509.11,6279.14,1676.84,15957.13,3936.37,686.56,5012.4,2498.7,733.4,1729.93,586.2,44929.1,1105.8,9338.38,4540.68,6038.38,14838.9,4321.4,10904.2,2151.18,9853.51,13149.55,4997.86,1414.38,1453.61,6945.53,8498.65
9/6/2014,54273,43010.24,8291.81,415.46,1305.16,3176.59,6692.6,19065.33,4589.12,10008.63,22472.12,7783.99,11164.1,844.48,442.38,1406.44,791.65,470.43,691.41,7390.11,1035.36,204.76,8659.69,583.56,6875,1238.13,807.54,5443.51,23117.47,4885.08,1863.69,1990.04,15124,5187.35,6802.73,1457.3,2030.5,25580.21,3305.2,9162.74,2567.719971,1485.390015,7227.240234,610.92,29472.52,6287.03,1683.87,16050.64,3912.01,687.35,5023.35,2480.62,733.4,1739.39,585.35,45137.07,1105.6,9350.43,4534.35,6037.89,14871.21,4336.24,10918.6,2145.79,9892.12,12969.65,4948.1,1411.55,1450.91,6933.22,8593.8
10/6/2014,54604,43045.23,8157.96,415.65,1322.9,3186.07,6746.4,19071.73,4595,10028.8,22502.97,7786.75,11153.5,835.67,442.32,1406.22,800.54,474.2,691.3,7445.36,1040.84,205.04,8752.86,581.48,6873.55,1242.1,816.72,5448.46,23315.74,4946.09,1876.61,2011.8,14994.8,5179.4,6777.98,1469.19,2052.53,25583.69,3293.82,9222.37,2585.840088,1490.810059,7341.660156,608.59,29540.72,6293.64,1714.03,16051.58,3929.53,688.61,5015.14,2499.32,743.2,1762.93,586.89,45730.62,1108.1,9328.51,4561.68,6037.89,14904.38,4338,10914.2,2140.22,9905.68,12970.81,4869.67,1406.32,1447.23,6923.11,8567.06
11/6/2014,55102,42944.85,8077.65,414.45,1307.26,3178.17,6778.6,19006.6,4555.11,9949.81,22223.77,7749.34,11074.9,831.87,434.25,1400.35,801.43,472.97,688.99,7318.53,1037.64,205.04,8712.09,577.08,6838.87,1231.84,790.21,5432.5,23257.29,4971.95,1878.38,2014.67,15069.48,5179.15,6809.18,1463.71,2054.95,25473.89,3290.04,9229.8,2554.969971,1501.180054,7340.689941,615.52,29783.3,6293.36,1720.6,16075.62,3906.91,692.57,4962.09,2487.51,738.57,1765.19,587.31,45644.26,1110.6,9349.43,4592.1,6033.8,14892.13,4331.93,10872.7,2151.69,9871.68,12912.81,4876.49,1400.62,1456.9,6923.91,8708.69
12/6/2014,55102,42617.62,8066.51,414.74,1307.08,3167.93,6911.63,18912.09,4554.4,9938.7,22163.49,7764.41,11088.5,834.14,441.28,1397.67,803.55,474.11,693.97,7253.86,1037.39,205.04,8670.98,574.93,6843.11,1242.14,798.34,5407.91,23175.02,4934.41,1873.87,2011.65,14973.53,5195.11,6809.18,1457.02,2051.71,25576.21,3293.01,9204.65,2559.939941,1501.180054,7299.810059,616.11,29766.38,6293.36,1714.84,16236.02,3890.77,682.92,4966.45,2476.39,745.16,1774.2,587.78,45587.81,1111.4,9415.06,4574.49,6033.8,14909.63,4297.63,10825,2164.08,9826.67,12978.86,4931.78,1397.39,1459.95,6907.55,8746.27
13/6/2014,54806,42485.66,8047.37,414.05,1270.69,3151.84,6914.76,18796.52,4543.28,9912.87,22165.97,7743.02,11113.7,837.41,441.23,1390.15,805.2,473.34,695.48,7238.42,1032.75,209.38,8653.76,571.82,6777.85,1235.59,790.12,5383.71,23319.17,4926.66,1876.74,1990.85,15097.84,5170.51,6784.95,1456.02,2070.72,25228.17,3293.25,9196.39,2556.360107,1501.180054,7401.350098,617.73,29730.86,6337.22,1716.81,16210.72,3863.13,680.77,4897.14,2471.82,740.78,1781.42,586.9,45803.04,1100.6,9398.85,4548.96,6033.8,15001.61,4310.65,10856.2,2162.89,9716.99,12773.2,4831.57,1392.57,1457.33,6895.95,8654.45
