Date,IBOVESPA (BRAZIL),IPC (MEXICO),MERVAL (ARGENTINA),AEX (NETHERLANDS),ATHEX COMPOSITE (GREECE),BEL-20 (BELGIUM),BET INDEX (ROMANIA),BUX (HUNGARY),CAC 40 (FRANCE),DAX (GERMANY),FTSE MIB (ITALY),OMX HELSINKI INDEX (FINLAND),IBEX INDEX (SPAIN),OMX ICELAND (ICELAND),OMX RIGA INDEX (LATVIA),OMX S30 (SWEDEN),OMX TALLINN INDEX (ESTONIA),OMX VILNIUS INDEX (LITHUANIA),OSE ALL SHARE INDEX (NORWAY),PSI 20 INDEX (PORTUGAL),PX INDEX (CZECH),SAX INDEX (SLOVAKIA),SWISS MARKET INDEX (SWITZERLAND),SOFIX INDEX (BULGARIA),UK 100 CFD (UK),UX INDEX (UKRAINE),XU 100 (TURKEY),ALL ORDINARIES (AUSTRALIA),HSI (HONG KONG),JAKARTA COMPOSITE INDEX (INDONESIA),KLSE (MALAYSIA),KOSPI INDEX (SOUTH KOREA),NIKKEI 225 (JAPAN),NZX 50 (NEW ZEALAND),PSEI (PHILIPPINE),SET INDEX (THAILAND),SCI (CHINA),SENSEX 30 INDEX (INDIA),STI (SINGAPORE),TAIEX INDEX (TAIWAN),ATX (AUSTRIA),MOEX INDEX (RUSSIA),SHENZHEN COMPONENT (CHINA),VN INDEX (VIETNAM),Karachi100 (PAKISTAN),CSE (SRI LANKA),COLCAP (COLOMBIA),S&P LIMA (PERU),IPSA (CHILE),BIRS (BOSNIA),ISEQ (IRELAND),WIG20 (POLAND),OMXC20 (DENMARK),CROBEX (CROATIA),BELEX15 (SERBIA),JTOPI (SOUTH AFRICA),NSX (NAMIBIA),MASI (MOROCCO),TUNINDEX (TUNISIA),LSE (ZAMBIA),S&P/TSX (CANADA),NASDAQ (USA),NYSE Composite (USA),AMSE (JORDAN),TASI (SAUDI ARABIA),QE GENERAL (QATAR),ADX (UNITED ARAB EMIRATES),TA35 (ISRAEL),BSE (BAHRAIN),MSM 30 (OMAN),EGX 30 (EGYPT)
1/6/2016,49012.65,45557.61,12626.03,446.78,645.1,3504.27,6466.38,26989.59,4475.39,10204.44,17810.85,7991.43,8916.9,1292.56,636.63,1356.75,991.34,513.97,665.23,4850.38,888.21,318.96,8185.53,443.11,6191.93,625.12,770.35,5395.17,20760.98,4839.67,1626.5,1982.72,16955.73,7022.4,7500.79,1415.76,2913.51,26713.93,2790.54,8593.35,2222.120117,1893.180054,10209.13965,619.38,36496.16,6542.75,1301.18,13555.76,3929.72,570.01,6435.74,1759.49,1003.16,1712.03,622.02,47510.07,974.7,9783.23,5501.49,4964.31,14063.54,4952.25,10454.9,2119.14,6457.95,9572.32,4284.92,1440.45,1105.29,5820.26,7572.39
2/6/2016,49887.24,45508.31,12717.9,447.59,639.19,3512.48,6581.19,27208.42,4466,10208,17767.3,8001.14,8957.9,1290.02,646.77,1359.14,995.34,515.13,665.18,4850,888.41,318.96,8205.82,445.95,6185.61,641.19,762.72,5354.23,20859.22,4833.23,1630.53,1985.11,16562.55,7003.12,7464.59,1424.06,2925.23,26843.14,2795.09,8556.02,2231.540039,1890.780029,10274.03027,621.18,36839.14,6523.84,1303,13660.16,3918.6,587.73,6435.54,1762.28,996.35,1711.32,629.67,47677.99,983.2,9821.23,5530.46,4964.19,14136.99,4971.36,10487.6,2119.14,6488.79,9532.6,4254.76,1444.86,1116.25,5819.81,7617.88
3/6/2016,50619.5,45928.23,12791.08,445.31,648.63,3490.55,6545.7,27134.17,4421.78,10103.26,17495.09,7979.72,8801.6,1287.89,642.92,1345.44,1006.24,515.62,663.11,4775.2,879.51,324.39,8148.4,442.7,6209.63,658.64,781.39,5392.55,20947.24,4853.92,1636.46,1985.84,16642.23,7024.38,7514.22,1436.43,2938.68,26843.03,2809.23,8575.47,2215.77002,1886.839966,10344.91016,621.05,37223,6519.23,1307.83,13949.1,3955.87,593.16,6402.55,1793.43,990.99,1704.14,624.56,48083.54,998.3,9832.64,5551.23,4943.07,14226.78,4942.52,10487.9,2103.79,6413.02,9570.72,4295.75,1443.87,1115.04,5818.53,7563.5
6/6/2016,50431.8,45857.73,12852.29,445.31,639.11,3490.55,6562.16,27089,4423.38,10121.08,17625,8040.16,8823.5,1262.38,648.88,1345.44,996.34,514.43,670.5,4775.2,892.27,324.39,8165.98,444.08,6273.4,662.24,785.93,5431.01,21030.22,4896.02,1648.99,1985.84,16580.03,7024.38,7598.22,1443.42,2934.1,26777.45,2831.28,8664.77,2233.659912,1915.540039,10363.08008,618.88,37352.27,6518.98,1307.83,13949.14,3987.54,597.6,6402.55,1797.27,995.78,1697.99,616.85,47822.38,1013.5,9800.27,5547.62,4943.07,14276.16,4968.71,10554.8,2110.07,6477.07,9638.95,4313.31,1445.99,1116.38,5816.64,7639.59
7/6/2016,50487.86,46124.63,13269.05,451.58,653.6,3546.81,6622.67,27394.19,4475.86,10287.68,17975.49,8127.58,8894.5,1270.56,645.98,1367.16,998.86,513.66,678.37,4857.44,895.2,319.64,8215.78,446.79,6284.53,665.01,781.58,5441.02,21328.24,4933.99,1660.62,2011.63,16675.45,7037.31,7710.54,1442.42,2936.05,27009.67,2848.09,8741.84,2263.840088,1951.26001,10347.83984,624.01,37392.29,6524,1315.86,13901.01,4014.71,597.55,6475.06,1832.79,1003.57,1699.77,615.73,48053.2,1016.3,9799.82,5530.97,4822.6,14365.61,4961.75,10599.2,2114.77,6533.42,9857.95,4345.77,1448.2,1116.38,5843.31,7717.35
8/6/2016,51629.29,46263.84,13624.89,450.15,652.38,3543.5,6660.07,27396.89,4448.73,10217.03,17909.7,8121.8,8831.4,1255.05,640.51,1361.49,999.63,510.76,681.4,4825.88,874.05,319.7,8143.76,446.62,6301.52,664.06,788.33,5441.12,21297.88,4916.06,1657.85,2027.08,16830.92,6991.51,7722.79,1445.54,2927.16,27020.66,2862.38,8715.48,2245.189941,1951.550049,10316.82031,630.09,37426.39,6526.12,1333.46,13910.37,4012.77,596.38,6413.56,1843.85,995.58,1703.1,627.83,47716.2,1004.2,9756.48,5483.88,4816.57,14313.1,4974.64,10638.4,2115.41,6604.96,9918.97,4408.32,1439.51,1116.02,5887.74,7780.13
9/6/2016,51118.46,45662.71,13528.37,446.1,645.69,3518.79,6523.23,26975.91,4405.61,10088.87,17763.88,8062.13,8769.5,1255.12,639.71,1344,999.19,511.2,671.23,4806.42,867.79,319.69,8076.35,449.71,6231.89,666.72,777.12,5437.44,21297.88,4876.79,1650.51,2024.17,16668.41,6970.55,7536.65,1435.65,2927.16,26763.46,2843.8,8715.48,2235.050049,1934.920044,10316.82031,630.66,37414.26,6528.03,1333.48,13980.63,3975.91,594.56,6358.14,1814.14,992.57,1701.99,623.63,47176.52,987.6,9745.14,5479.29,4816.45,14240.02,4958.62,10589.8,2120.12,6606.92,9836.96,4381.13,1430.44,1119.64,5886.06,7756.3
10/6/2016,49422.16,45177.5,13324.43,435.77,618.67,3441.6,6414.93,26519.61,4306.72,9834.62,17120.16,7936.55,8490.5,1261.94,637.24,1315.06,991.79,511.62,663.39,4703.17,840.05,319.76,7922.71,445.27,6115.76,658.06,768.87,5391.57,21042.64,4848.06,1641.22,2017.63,16601.36,6971.78,7509.94,1429.21,2927.16,26635.75,2822.97,8715.48,2189.870117,1903.609985,10316.82031,629.27,36940.88,6530.5,1320.48,13775.92,3954.49,591.74,6228.24,1782.02,964.06,1694.96,624.31,47028.08,973.9,9753.4,5482.19,4812.39,14037.54,4894.55,10446.1,2109.59,6570.89,9794.02,4367.9,1430.44,1115.95,5868.41,7650.62
13/6/2016,49660.79,44930.25,13174.17,428.2,594.58,3366.63,6415.01,25830.59,4227.02,9657.44,16621.87,7821.62,8303.8,1256.34,635.65,1294.51,998.25,510.83,654.26,4569.44,818.38,319.69,7782.35,448.25,6044.97,661.74,765.34,5391.57,20512.99,4807.23,1629.77,1979.06,16019.18,6924.27,7554.4,1421.86,2833.07,26396.77,2785.43,8520.44,2138.389893,1903.609985,9862.580078,621.75,36979.96,6538.25,1315.23,13621.64,3940.88,592.38,6085.42,1780.01,954.18,1689.71,625.65,46431.51,961.5,9680.85,5483.38,4788.05,13993.88,4848.44,10349.2,2113.66,6589.64,9704.36,4365.09,1412.44,1123.3,5847.44,7645.21
14/6/2016,48648.29,44570.59,13038.32,419.08,593.45,3306.59,6407.88,25831,4130.33,9519.2,16271.35,7693.84,8126.7,1256.9,638.13,1273.97,998.03,511.49,644.18,4463.46,808.2,310.92,7638.77,445.92,5923.53,673.18,757.6,5282.52,20387.53,4821.59,1626.11,1972.03,15859,6834.95,7460.12,1428.1,2842.19,26395.71,2768.33,8557.89,2095.02002,1885.920044,9895.150391,625.36,37517.75,6518.08,1303.33,13443.46,3939.66,591.28,5977.21,1762.61,919.2,1690.8,624.66,45396.9,934.3,9674.38,5484.82,4788.05,13884.23,4843.55,10294.6,2113.65,6626.58,9756.38,4386.42,1410.09,1123.3,5838.87,7570.05
